gene_id	S_2_SARS_5dpi_S70003	S_2_mock_5dpi_S70002	S_3_SARS_5dpi_S69996	S_3_mock_5dpi_S69997
ENSG00000117318	2654	3701	10869	6077
ENSG00000285802	0	0	0	0
ENSG00000197880	6	0	0	0
ENSG00000229239	0	0	0	0
ENSG00000142676	4030	3725	6291	3468
ENSG00000236810	12	23	46	110
ENSG00000011007	493	660	1319	1059
ENSG00000057757	897	910	1260	642
ENSG00000011009	2028	1940	3957	2860
ENSG00000117308	1376	1323	2349	1833
ENSG00000117305	3028	2696	3851	3070
ENSG00000179163	3163	3478	6550	5386
ENSG00000188822	0	0	1	1
ENSG00000229106	0	0	0	0
ENSG00000232557	0	0	0	0
ENSG00000264926	0	0	0	0
ENSG00000230228	116	105	140	157
ENSG00000189266	1284	2081	6363	2947
ENSG00000188529	1502	1841	3075	2802
ENSG00000215905	0	0	0	0
